4.48;4.28;4.44;4.52;4.48;4.36;4.48;4.52
4.08;4.08;4.08;3.96;4.04;3.88;4.08;3.96
4;3.76;1.28;4.04;4.44;1.12;4;4.04
3.92;4.24;2.72;4.08;0.76;2.88;3.96;3.44
4.08;1.36;3.92;3.92;2.8;4.24;4;0.8
4;2.64;4;4.08;4.04;4;4.04;3.76
3.96;3.76;4.08;3.88;4;3.76;3.96;3.44
1.08;4.24;4;4.12;3.92;4.08;4.04;0.8
2.96;1.36;4;3.88;4.08;3.92;4.44;3.72
3.96;2.4;3.96;3.64;3.92;4.08;0.88;4.12
1.08;4.24;3.96;4.08;4.08;4.12;2.64;3.88
2.96;1.36;4;4.48;3.96;4;4;3.88
4;2.6;4;4.36;4.44;3.92;3.96;3.44
4;4;4.08;4;0.76;3.88;4.08;0.8
4;3.96;1.28;3.64;2.84;1.12;3.96;2.84
4;4.08;2.72;3.25;3.96;3.08;4;4.12
4;4;4;0;4.44;4;4;4
3.96;4;3.92;0;0.76;4;3.96;3.88
4.04;3.96;4;0;2.8;4;4.08;3.09
3.96;4.04;4.08;0;4.04;4;3.96;0
1.08;3.96;1.28;0;3.92;4;4.04;0
2.96;4.04;2.68;0;4.08;4;3.96;0
4;3.96;4.04;0;3.96;3.8;4;0
4;3.8;4;0;4.44;4.08;3.49;0
3.92;4.24;3.92;0;0.76;4.04;0;0
4.04;1.36;3.25;0;2.76;3.88;0;0
4.04;2.56;0;0;4.04;1.12;0;0
3.92;4.08;0;0;4.04;2.09;0;0
4.08;2.77;0;0;3.92;0;0;0
3.96;0;0;0;4.08;0;0;0
1.08;0;0;0;3.92;0;0;0
2.21;0;0;0;2.93;0;0;0
